Nome do Cliente;Indústria;Valor Estimado;Valor de Fechamento;Oportunidade Criada Em;Data de Fechamento;Nome da Oportunidade;Categoria;Produto;Fase da Oportunidade;Status da Oportunidade;Estado;CSM
Children's Medical Center of Dallas;Saúde; R$ 47.000,00 ; R$ -   ;27/09/12;11/12/12;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;1 - Lead;Perdida;Maranhão;Jack Sparrow
CHRISTIANA CARE HEALTH SERVICES;Saúde; R$ -   ; R$ -   ;17/04/18;01/05/18;Contratação pontual de suporte;Serviços;Microsoft Project Server;Não classificada;Perdida;Minas Gerais;Jack Sparrow
CHRISTIANA CARE HEALTH SERVICES;Saúde; R$ 84.095,00 ; R$ 84.095,00 ;01/05/18;16/08/18;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Minas Gerais;Vincent Vega
CHRISTIANA CARE HEALTH SERVICES;Saúde;; R$ -   ;30/04/18;30/04/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;Não classificada;Perdida;Minas Gerais;Jack Sparrow
Circle K;Vendas & Departamento; R$ 86.360,00 ; R$ -   ;10/06/14;09/09/14;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;Santa Catarina;Mia Wallace
Autoridade Fiscal Brasileira;Governo; R$ 9.000,00 ; R$ -   ;30/11/16;11/09/17;Contratação pontual de suporte;Serviços;Microsoft Project Online;Não classificada;Perdida;São Paulo;Mia Wallace
Conselho Regional;Governo; R$ 5.400,00 ; R$ 5.400,00 ;26/04/19;07/05/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Minas Gerais;Moana Waialiki
Conselho Regional;Governo; R$ 8.100,00 ; R$ 8.100,00 ;12/10/18;19/10/18;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Minas Gerais;Mia Wallace
Conselho Regional;Governo; R$ 10.195,00 ; R$ -   ;01/02/19;03/09/19;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;2 - Oportunidade;Perdida;Minas Gerais;Marty McFly
Conselho Regional;Governo; R$ 23.750,00 ; R$ 23.750,00 ;26/11/18;31/10/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;7 - Encerramento;Ganha;Minas Gerais;Django Freeman
Conselho Regional;Governo; R$ 29.600,00 ; R$ 29.600,00 ;26/09/19;31/10/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;7 - Encerramento;Ganha;Minas Gerais;Jack Sparrow
Conselho Regional;Governo; R$ 44.000,00 ; R$ -   ;23/10/13;08/10/14;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;1 - Lead;Perdida;Minas Gerais;Moana Waialiki
Conselho Regional;Governo; R$ 76.529,08 ; R$ 76.529,08 ;17/03/17;08/02/18;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;Minas Gerais;Rose Calvert
Conselho Regional;Governo; R$ 8.161,00 ; R$ -   ;23/03/18;13/08/18;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Perdida;Amapá;Mia Wallace
Conselho Regional;Governo; R$ 10.881,61 ; R$ -   ;21/12/17;29/03/18;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Acre;Jack Sparrow
Conselho Regional;Governo; R$ 19.000,00 ; R$ -   ;02/01/19;13/08/19;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Rio Grande do Norte;Rose Calvert
Conselho Regional;Governo; R$ 19.000,00 ; R$ 19.000,00 ;30/07/18;28/09/18;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Amazonas;Django Freeman
Conselho Regional;Governo; R$ 69.047,00 ; R$ 69.047,00 ;31/03/17;31/05/17;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Alagoas;Marty McFly
Autoridade Monetária Brasileira;Governo; R$ 145,00 ; R$ 145,00 ;24/01/19;22/01/19;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Rose Calvert
Autoridade Monetária Brasileira;Governo; R$ 41.800,79 ; R$ 41.800,79 ;17/02/17;17/04/17;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;Minas Gerais;Marty McFly
Autoridade Monetária Brasileira;Governo; R$ 2.199,00 ; R$ 2.199,00 ;23/02/17;13/04/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;1 - Lead;Ganha;São Paulo;Jack Sparrow
Colégio Focus;Educação; R$ 21.000,00 ; R$ -   ;15/12/15;03/03/16;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Bahia;Marty McFly
Colégio Infantil Education 1st;Educação; R$ 2.695,00 ; R$ 2.695,00 ;23/04/18;23/04/18;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Rio Grande do Norte;Mia Wallace
Colégio Infantil Education 1st;Educação; R$ 4.000,00 ; R$ -   ;19/11/19;08/01/20;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Perdida;Paraíba;Mia Wallace
Colégio Infantil Education 1st;Educação; R$ 4.500,00 ; R$ 4.500,00 ;23/01/14;22/01/14;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Jack Sparrow
Colégio Monte Cristo;Educação; R$ 24.080,00 ; R$ -   ;11/03/13;17/05/13;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;1 - Lead;Perdida;Santa Catarina;Marty McFly
Columbia Sportswear;Vendas & Departamento; R$ -   ; R$ -   ;09/01/19;19/04/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;Ceará;Jack Sparrow
Columbia Sportswear;Vendas & Departamento; R$ 6.000,00 ; R$ 6.000,00 ;24/05/17;16/06/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Ceará;Mia Wallace
Columbia Sportswear;Vendas & Departamento; R$ 8.000,00 ; R$ -   ;13/06/19;30/07/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;2 - Oportunidade;Perdida;Ceará;Vincent Vega
Columbia Sportswear;Vendas & Departamento; R$ 8.000,00 ; R$ 8.000,00 ;16/08/18;05/09/18;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Ceará;Mia Wallace
Columbia Sportswear;Vendas & Departamento; R$ 10.000,00 ; R$ -   ;14/01/19;21/05/19;Desenvolvimento de flows;Consultoria;Power Automate;1 - Lead;Perdida;Ceará;Moana Waialiki
Columbia Sportswear;Vendas & Departamento; R$ 14.000,00 ; R$ 14.000,00 ;26/10/17;30/04/18;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;Ceará;Marty McFly
Columbia Sportswear;Vendas & Departamento; R$ 15.000,00 ; R$ 15.000,00 ;02/06/16;10/06/16;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Ceará;Vincent Vega
Columbia Sportswear;Vendas & Departamento; R$ 15.103,00 ; R$ 15.103,00 ;08/11/16;27/02/17;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Ceará;Rose Calvert
Columbia Sportswear;Vendas & Departamento; R$ 20.000,00 ; R$ -   ;13/07/18;09/01/19;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;Não classificada;Perdida;Ceará;Moana Waialiki
Columbia Sportswear;Vendas & Departamento; R$ 20.000,00 ; R$ 20.000,00 ;08/11/16;10/11/16;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;1 - Lead;Ganha;Ceará;Mia Wallace
Autoridade Monetária Brasileira;Governo; R$ 102.000,00 ; R$ -   ;09/09/15;04/02/16;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Bahia;Vincent Vega
Comcast;Mídia & Conteúdo; R$ 39,98 ; R$ 39,98 ;11/04/19;11/04/19;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 59,97 ; R$ 59,97 ;11/04/19;11/04/19;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 1.599,00 ; R$ 1.599,00 ;11/10/16;11/10/16;Desenvolvimento de workflows;Consultoria;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 2.000,00 ; R$ 2.000,00 ;21/02/19;27/03/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Espírito Santo;Vincent Vega
Comcast;Mídia & Conteúdo; R$ 2.000,00 ; R$ 2.000,00 ;16/08/18;16/08/18;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Marty McFly
Comcast;Mídia & Conteúdo; R$ 2.095,00 ; R$ 2.095,00 ;03/05/18;03/05/18;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Marty McFly
Comcast;Mídia & Conteúdo; R$ 2.695,00 ; R$ 2.695,00 ;18/04/19;17/04/19;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Vincent Vega
Comcast;Mídia & Conteúdo; R$ 3.198,00 ; R$ 3.198,00 ;02/11/16;03/11/16;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 3.700,00 ; R$ 3.700,00 ;09/10/19;18/11/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Espírito Santo;Marty McFly
Comcast;Mídia & Conteúdo; R$ 3.890,00 ; R$ 3.890,00 ;22/03/18;02/05/18;Treinamento para Administradores;Treinamento;Microsoft Project Online;2 - Oportunidade;Ganha;Espírito Santo;Rose Calvert
Comcast;Mídia & Conteúdo; R$ 6.000,00 ; R$ -   ;21/02/19;19/04/19;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;1 - Lead;Perdida;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 10.000,00 ; R$ 10.000,00 ;21/04/20;13/05/20;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;7 - Encerramento;Ganha;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 10.000,00 ; R$ 10.000,00 ;25/01/19;18/04/19;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Marty McFly
Comcast;Mídia & Conteúdo; R$ 10.000,00 ; R$ 10.000,00 ;18/06/18;13/07/18;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;Espírito Santo;Marty McFly
Comcast;Mídia & Conteúdo; R$ 10.000,00 ; R$ -   ;05/12/16;14/12/17;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 10.540,00 ; R$ 10.540,00 ;12/07/18;07/10/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 11.599,00 ; R$ 11.599,00 ;18/08/16;29/11/16;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 18.250,00 ; R$ 18.250,00 ;12/12/18;14/05/19;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 20.000,00 ; R$ 20.000,00 ;01/05/19;13/05/19;Implantação PPM;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;Espírito Santo;Jack Sparrow
Comcast;Mídia & Conteúdo; R$ 20.000,00 ; R$ 20.000,00 ;10/08/18;16/10/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 22.000,00 ; R$ 22.000,00 ;07/09/16;24/02/17;Contratação pontual de suporte;Serviços;Microsoft Project Server;Não classificada;Perdida;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 24.000,00 ; R$ -   ;07/02/18;23/05/18;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;2 - Oportunidade;Perdida;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 26.480,00 ; R$ 26.480,00 ;17/06/16;12/09/17;Treinamento para Administradores;Treinamento;Microsoft Project Online;1 - Lead;Ganha;Espírito Santo;Moana Waialiki
Comcast;Mídia & Conteúdo; R$ 31.340,00 ; R$ 31.340,00 ;08/08/17;09/11/18;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Jack Sparrow
Comcast;Mídia & Conteúdo; R$ 45.071,00 ; R$ 45.071,00 ;18/06/18;06/07/18;Contratação pontual de suporte;Serviços;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Espírito Santo;Jack Sparrow
Comcast;Mídia & Conteúdo; R$ 50.095,00 ; R$ 50.095,00 ;08/03/18;15/05/18;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;2 - Oportunidade;Ganha;Espírito Santo;Rose Calvert
Comcast;Mídia & Conteúdo; R$ 55.000,00 ; R$ 54.846,00 ;17/04/19;21/06/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;7 - Encerramento;Ganha;Espírito Santo;Jack Sparrow
Comcast;Mídia & Conteúdo; R$ 60.380,00 ; R$ 60.380,00 ;19/08/16;12/05/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Espírito Santo;Django Freeman
Comcast;Mídia & Conteúdo; R$ 76.928,00 ; R$ 76.928,00 ;29/08/17;10/10/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 106.926,00 ; R$ 106.926,00 ;13/10/16;22/09/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Espírito Santo;Mia Wallace
Comcast;Mídia & Conteúdo; R$ 147.481,10 ; R$ 147.481,10 ;18/05/16;29/07/16;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Espírito Santo;Marty McFly
Companhia de Siderurgia Brasileira;Manufatura; R$ 10.000,00 ; R$ 10.000,00 ;16/06/20;11/08/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;7 - Encerramento;Ganha;Maranhão;Mia Wallace
Companhia de Siderurgia Brasileira;Manufatura; R$ 27.000,00 ; R$ -   ;06/07/17;12/04/18;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Maranhão;Mia Wallace
Companhia de Siderurgia Brasileira;Manufatura; R$ 35.000,00 ; R$ 35.000,00 ;24/04/19;22/07/19;Desenvolvimento de workflows;Consultoria;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Maranhão;Rose Calvert
Communications Corp;Telecomunicações; R$ 65.000,00 ; R$ -   ;19/04/18;26/09/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;Não classificada;Perdida;Minas Gerais;Marty McFly
Companhia de Tratores Nacionais;Agricultura; R$ 6.000,00 ; R$ -   ;13/06/19;28/01/20;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Perdida;Rio Grande do Sul;Marty McFly
Companhia de Tratores Nacionais;Agricultura; R$ 8.000,00 ; R$ 8.000,00 ;11/03/14;31/03/14;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Ganha;Minas Gerais;Rose Calvert
Companhia de Tratores Nacionais;Agricultura; R$ 25.000,00 ; R$ 25.000,00 ;17/06/16;16/03/17;Desenvolvimento de flows;Consultoria;Power Automate;Não classificada;Perdida;Rio Grande do Sul;Marty McFly
Companhia de Tratores Nacionais;Agricultura; R$ 76.095,00 ; R$ -   ;20/09/18;06/06/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;1 - Lead;Perdida;São Paulo;Marty McFly
Companhia de Trens SA;Hospitalidade & Transporte; R$ -   ; R$ -   ;13/12/19;02/03/20;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Perdida;Rio de Janeiro;Marty McFly
Companhia de Trens SA;Hospitalidade & Transporte; R$ -   ; R$ -   ;18/05/16;10/04/18;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;Rio de Janeiro;Marty McFly
Compania de Resseguros Nacionais;Seguros; R$ 14.175,00 ; R$ 14.175,00 ;22/08/15;23/08/15;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Ganha;Paraná;Mia Wallace
Compania de Resseguros Nacionais;Seguros; R$ 15.000,00 ; R$ 15.000,00 ;26/07/16;29/12/16;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;1 - Lead;Perdida;Bahia;Django Freeman
Compania de Resseguros Nacionais;Seguros; R$ 15.000,00 ; R$ 15.000,00 ;21/06/16;29/06/16;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
Comunicação Sem-fio;Telecomunicações; R$ 45.000,00 ; R$ -   ;23/05/16;16/11/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;Não classificada;Perdida;São Paulo;Mia Wallace
ConMed Corp;Manufatura; R$ 1.135,00 ; R$ 1.135,00 ;13/02/20;17/02/20;Contratação pontual de suporte;Serviços;Microsoft Project Online;7 - Encerramento;Ganha;Bahia;Moana Waialiki
ConMed Corp;Manufatura; R$ 10.000,00 ; R$ 10.000,00 ;27/01/20;28/01/20;Contratação pontual de suporte;Serviços;Microsoft Project Server;7 - Encerramento;Ganha;Bahia;Mia Wallace
ConMed Corp;Manufatura; R$ 30.000,00 ; R$ 30.000,00 ;30/05/19;21/01/20;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;Bahia;Vincent Vega
ConMed Corp;Manufatura; R$ 55.000,00 ; R$ -   ;19/11/19;24/09/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;4 - Demonstração realizada;Perdida;Bahia;Rose Calvert
Connected ;Telecomunicações; R$ 31.095,00 ; R$ -   ;28/08/17;19/12/17;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;São Paulo;Marty McFly
CONOCOPHILLIPS;Manufatura; R$ -   ; R$ -   ;20/12/18;10/10/19;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Perdida;Maranhão;Marty McFly
Continental Resorts;Hospitalidade & Transporte; R$ 4.500,00 ; R$ -   ;14/06/16;01/08/17;Pacote de relatórios Excel;Produtos;Microsoft Excel;Não classificada;Perdida;São Paulo;Marty McFly
Continental Resorts;Hospitalidade & Transporte; R$ 4.999,90 ; R$ 4.999,90 ;03/04/15;02/04/15;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;Não classificada;Ganha;Paraíba;Mia Wallace
Continental Resorts;Hospitalidade & Transporte; R$ 145.000,00 ; R$ -   ;23/03/17;13/12/17;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Paraíba;Moana Waialiki
Cooley LLP;Serviços Profissionais; R$ 98.723,00 ; R$ 98.723,00 ;09/12/14;21/04/15;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;São Paulo;Moana Waialiki
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;16/09/19;24/03/20;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Perdida;São Paulo;Moana Waialiki
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;28/02/20;09/03/20;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;4 - Demonstração realizada;Perdida;Espírito Santo;Rose Calvert
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;25/11/19;28/01/20;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Perdida;São Paulo;Marty McFly
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;11/01/19;12/08/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;Não classificada;Perdida;Paraíba;Moana Waialiki
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;08/05/18;09/05/18;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Perdida;Rio Grande do Sul;Marty McFly
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ 6.000,00 ; R$ 6.000,00 ;09/08/18;21/08/18;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Marty McFly
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ 10.000,00 ; R$ 10.000,00 ;29/01/20;11/02/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;7 - Encerramento;Ganha;Rio Grande do Sul;Moana Waialiki
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ 18.000,00 ; R$ 18.000,00 ;07/02/19;07/02/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;7 - Encerramento;Ganha;Rio Grande do Sul;Marty McFly
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ 20.000,00 ; R$ 20.000,00 ;26/11/18;13/12/18;Desenvolvimento de flows;Consultoria;Power Automate;7 - Encerramento;Ganha;Rio Grande do Sul;Rose Calvert
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ 22.500,00 ; R$ 22.500,00 ;20/12/19;20/12/19;Desenvolvimento de flows;Consultoria;Power Automate;7 - Encerramento;Ganha;Rio Grande do Sul;Rose Calvert
Cooperativa de Crédito do Povo;Bancos & Mercado de Capitais; R$ 81.599,00 ; R$ 81.599,00 ;28/04/17;27/12/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ -   ; R$ -   ;29/04/20;10/07/20;Implantação PPM;Consultoria;Microsoft Project Online;4 - Demonstração realizada;Perdida;Minas Gerais;Mia Wallace
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 540,00 ; R$ 540,00 ;21/04/17;06/11/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;2 - Oportunidade;Ganha;Minas Gerais;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 2.999,00 ; R$ 2.999,00 ;28/11/18;10/12/18;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Minas Gerais;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 3.000,00 ; R$ 3.000,00 ;10/02/20;10/02/20;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;Minas Gerais;Rose Calvert
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 6.000,00 ; R$ 6.000,00 ;25/10/18;15/11/18;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Minas Gerais;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 10.000,00 ; R$ 10.000,00 ;20/07/20;28/07/20;Pacote de relatórios Excel;Produtos;Microsoft Excel;7 - Encerramento;Ganha;Minas Gerais;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 10.000,00 ; R$ 10.000,00 ;13/06/19;19/09/19;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;7 - Encerramento;Ganha;Minas Gerais;Vincent Vega
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 10.000,00 ; R$ 10.000,00 ;19/06/18;13/07/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Minas Gerais;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 13.000,00 ; R$ 13.000,00 ;21/04/20;21/05/20;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;Minas Gerais;Marty McFly
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 13.000,00 ; R$ 13.000,00 ;30/06/16;21/07/16;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Minas Gerais;Django Freeman
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 18.000,00 ; R$ 18.000,00 ;18/03/16;26/10/16;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Minas Gerais;Moana Waialiki
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 30.540,00 ; R$ 30.540,00 ;02/08/16;22/12/16;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;Minas Gerais;Vincent Vega
Cooperativa de Crédito Popular;Bancos & Mercado de Capitais; R$ 33.000,00 ; R$ 33.000,00 ;25/05/17;18/08/17;Implantação PPM;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Minas Gerais;Django Freeman
Cooperativa de Seguros Nacionais;Seguros; R$ 19.000,00 ; R$ 19.000,00 ;17/09/14;16/10/14;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
Cooperativa de Seguros Nacionais;Seguros; R$ 21.000,00 ; R$ -   ;04/02/16;29/08/17;Contratação pontual de suporte;Serviços;Microsoft Project Server;1 - Lead;Perdida;Paraná;Mia Wallace
Cooperativa de Seguros Nacionais;Seguros; R$ 23.000,00 ; R$ -   ;04/12/14;21/10/15;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;Não classificada;Perdida;Minas Gerais;Django Freeman
Cooperativa de Seguros Nacionais;Seguros; R$ 28.000,00 ; R$ -   ;10/05/16;20/09/17;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;Paraná;Django Freeman
CORE Construction Group;Serviços Profissionais; R$ 10.000,00 ; R$ 10.000,00 ;23/03/16;09/05/16;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;1 - Lead;Ganha;Santa Catarina;Jack Sparrow
CORE Construction Group;Serviços Profissionais; R$ 10.000,00 ; R$ 10.000,00 ;06/01/14;05/01/14;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
CORE Construction Group;Serviços Profissionais; R$ 10.000,00 ; R$ 10.000,00 ;03/11/13;14/11/13;Desenvolvimento de flows;Consultoria;Power Automate;1 - Lead;Ganha;Santa Catarina;Marty McFly
